product_id,date,store_id,category,region,supplier_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,unit_price,stockout_risk_score,stockout_risk,inventory_days,reorder_point,inventory_value,potential_revenue_loss
P0159,2025-01-01,S030,Electronics,North,SUP023,145,13,7,0.72,0,0.25,66.91,0.0,Low,11.15,91,9701.95,0.0
P0012,2025-01-01,S023,Home & Kitchen,South,SUP016,145,15,10,0.7,1,0.17,204.21,0.21,Low,9.67,150,29610.45,1021.05
P0105,2025-01-01,S010,Clothing,East,SUP003,541,24,14,0.9,0,-0.04,574.98,0.0,Low,22.54,336,311064.18,0.0
P0077,2025-01-01,S012,Sports,West,SUP019,21,25,8,0.76,0,-0.24,506.32,0.55,High,0.84,200,10632.72,90631.28
P0187,2025-01-02,S029,Electronics,West,SUP034,370,16,7,0.84,0,-0.1,421.16,0.0,Low,23.12,112,155829.2,0.0
P0192,2025-01-02,S017,Clothing,North,SUP032,326,27,9,0.94,0,-0.2,628.38,0.0,Low,12.07,243,204851.88,0.0
P0192,2025-01-02,S018,Grocery,North,SUP003,203,26,7,0.72,0,-0.14,139.08,0.007,Low,7.81,182,28233.24,0.0
P0097,2025-01-02,S026,Beauty,North,SUP010,593,31,13,0.77,0,-0.17,15.56,0.0,Low,19.13,403,9227.08,0.0
P0020,2025-01-02,S021,Beauty,East,SUP038,392,16,3,0.7,0,-0.24,860.05,0.0,Low,24.5,48,337139.6,0.0
P0124,2025-01-02,S026,Sports,North,SUP021,91,31,12,0.94,1,-0.22,814.85,0.529,High,2.94,372,74151.35,228972.85
P0172,2025-01-02,S011,Electronics,West,SUP040,209,14,6,0.92,0,0.08,141.23,0.0,Low,14.93,84,29517.07,0.0
P0131,2025-01-02,S019,Home & Kitchen,North,SUP022,223,13,11,0.78,0,-0.12,662.23,0.0,Low,17.15,143,147677.29,0.0
P0194,2025-01-02,S027,Clothing,East,SUP005,566,24,11,0.95,0,-0.21,69.43,0.0,Low,23.58,264,39297.38,0.0
P0157,2025-01-02,S026,Beauty,South,SUP029,536,28,14,0.81,0,0.13,11.52,0.0,Low,19.14,392,6174.72,0.0
P0135,2025-01-02,S008,Beauty,South,SUP004,421,25,7,0.78,1,-0.18,208.37,0.0,Low,16.84,175,87723.77,0.0
P0101,2025-01-02,S006,Clothing,East,SUP007,36,28,13,0.9,1,0.2,347.3,0.639,High,1.29,364,12502.8,113914.4
P0121,2025-01-02,S025,Grocery,East,SUP038,310,63,6,0.99,0,0.12,766.97,0.113,Low,4.92,378,237760.7,52153.96
P0064,2025-01-02,S011,Clothing,North,SUP021,407,30,3,0.87,0,0.11,187.82,0.0,Low,13.57,90,76442.74,0.0
P0150,2025-01-02,S010,Clothing,North,SUP032,739,32,10,0.69,0,0.08,793.75,0.0,Low,23.09,320,586581.25,0.0
P0145,2025-01-02,S022,Clothing,North,SUP014,20,15,7,0.94,0,-0.19,154.85,0.456,Medium,1.33,105,3097.0,13162.25
P0175,2025-01-02,S020,Home & Kitchen,North,SUP001,169,31,13,0.91,0,0.2,701.34,0.361,Medium,5.45,403,118526.46,164113.56
P0006,2025-01-03,S009,Grocery,East,SUP003,40,33,9,0.72,1,0.12,421.19,0.656,High,1.21,297,16847.6,108245.83
P0124,2025-01-03,S023,Beauty,West,SUP024,598,34,7,0.71,1,0.24,277.38,0.0,Low,17.59,238,165873.24,0.0
P0120,2025-01-03,S020,Electronics,North,SUP040,358,18,8,0.76,0,0.14,802.31,0.0,Low,19.89,144,287226.98,0.0
P0052,2025-01-03,S003,Electronics,South,SUP040,231,14,14,0.95,0,0.06,71.28,0.0,Low,16.5,196,16465.68,0.0
P0128,2025-01-03,S018,Clothing,West,SUP034,232,22,6,0.85,0,0.14,288.76,0.0,Low,10.55,132,66992.32,0.0
P0076,2025-01-03,S013,Home & Kitchen,South,SUP023,200,14,3,0.71,0,0.08,609.54,0.0,Low,14.29,42,121908.0,0.0
P0195,2025-01-03,S022,Home & Kitchen,South,SUP029,229,27,13,0.84,0,0.24,330.5,0.255,Medium,8.48,351,75684.5,40321.0
P0052,2025-01-03,S021,Grocery,North,SUP037,237,50,9,0.93,0,-0.1,290.8,0.277,Medium,4.74,450,68919.6,61940.4
P0107,2025-01-03,S029,Home & Kitchen,North,SUP027,317,29,3,0.81,0,0.05,262.24,0.0,Low,10.93,87,83130.08,0.0
P0103,2025-01-03,S013,Grocery,West,SUP004,317,20,12,0.97,0,0.06,264.32,0.0,Low,15.85,240,83789.44,0.0
P0184,2025-01-03,S006,Electronics,East,SUP024,14,12,14,0.85,1,0.19,487.51,0.658,High,1.17,168,6825.14,75076.54
P0143,2025-01-03,S029,Grocery,West,SUP005,294,47,4,0.75,0,0.0,522.9,0.0,Low,6.26,188,153732.6,0.0
P0085,2025-01-03,S024,Beauty,North,SUP024,185,26,4,0.89,0,0.25,664.69,0.0,Low,7.12,104,122967.65,0.0
P0147,2025-01-03,S029,Grocery,East,SUP026,52,57,5,0.98,0,-0.24,214.69,0.453,Medium,0.91,285,11163.88,50022.77
P0056,2025-01-03,S011,Electronics,North,SUP025,220,19,2,0.82,0,-0.22,836.65,0.0,Low,11.58,38,184063.0,0.0
P0096,2025-01-03,S021,Sports,East,SUP016,92,32,14,0.8,1,-0.18,375.73,0.586,High,2.88,448,34567.16,133759.88
P0112,2025-01-03,S012,Beauty,West,SUP038,911,44,13,0.8,1,0.1,107.42,0.0,Low,20.7,572,97859.62,0.0
P0114,2025-01-03,S020,Sports,North,SUP036,387,20,14,0.89,0,0.03,118.48,0.0,Low,19.35,280,45851.76,0.0
P0114,2025-01-03,S020,Sports,North,SUP017,68,12,14,0.72,0,0.03,301.19,0.398,Medium,5.67,168,20480.92,30119.0
P0009,2025-01-03,S011,Electronics,East,SUP024,159,9,14,0.7,0,-0.21,83.32,0.0,Low,17.67,126,13247.88,0.0
P0052,2025-01-04,S030,Grocery,West,SUP002,644,35,11,0.87,1,0.06,754.37,0.0,Low,18.4,385,485814.28,0.0
P0028,2025-01-04,S008,Beauty,East,SUP026,431,32,5,0.85,0,0.11,78.2,0.0,Low,13.47,160,33704.2,0.0
P0157,2025-01-04,S029,Clothing,East,SUP038,294,27,12,0.69,0,-0.05,804.97,0.128,Low,10.89,324,236661.18,24149.1
P0085,2025-01-04,S028,Clothing,East,SUP033,1049,45,14,0.84,1,0.22,334.32,0.0,Low,23.31,630,350701.68,0.0
P0178,2025-01-04,S014,Grocery,East,SUP010,565,58,14,0.69,1,-0.23,10.73,0.345,Medium,9.74,812,6062.45,2650.31
P0021,2025-01-04,S001,Clothing,South,SUP027,518,24,5,,1,-0.07,446.85,0.0,Low,21.58,120,231468.3,0.0
P0090,2025-01-04,S002,Electronics,West,SUP032,121,19,11,0.69,0,0.15,44.2,0.323,Medium,6.37,209,5348.2,3889.6
P0150,2025-01-04,S013,Beauty,North,SUP020,337,45,7,0.96,1,0.23,727.88,0.095,Low,7.49,315,245295.56,0.0
P0005,2025-01-04,S024,Electronics,East,SUP016,13,10,8,0.97,0,-0.13,364.44,0.462,Medium,1.3,80,4737.72,24417.48
P0084,2025-01-04,S012,Beauty,South,SUP021,81,19,4,0.93,1,0.2,44.12,0.102,Low,4.26,76,3573.72,0.0
P0090,2025-01-04,S016,Sports,North,SUP025,139,13,13,0.82,0,0.04,174.67,0.146,Low,10.69,169,24279.13,5240.1
P0139,2025-01-04,S022,Electronics,South,SUP034,121,17,3,0.92,0,0.13,251.11,0.0,Low,7.12,51,30384.31,0.0
P0179,2025-01-04,S005,Clothing,South,SUP018,234,15,14,0.69,0,0.13,795.92,0.028,Low,15.6,210,186245.28,0.0
P0020,2025-01-04,S017,Home & Kitchen,North,SUP006,571,24,9,0.98,0,0.05,207.63,0.0,Low,23.79,216,118556.73,0.0
P0044,2025-01-05,S012,Grocery,South,SUP012,341,25,13,0.94,0,0.14,650.02,0.002,Low,13.64,325,221656.82,0.0
P0200,2025-01-05,S012,Grocery,West,SUP016,164,68,2,0.69,1,0.22,451.11,0.087,Low,2.41,136,73982.04,0.0
P0097,2025-01-05,S028,Electronics,East,SUP032,93,27,6,0.67,1,0.1,648.57,0.425,Medium,3.44,162,60317.01,44751.33
P0140,2025-01-05,S029,Sports,West,SUP025,253,21,8,0.78,0,-0.02,124.15,0.0,Low,12.05,168,31409.95,0.0
P0003,2025-01-05,S015,Clothing,South,SUP036,47,17,3,0.99,0,0.11,659.95,0.056,Low,2.76,51,31017.65,2639.8
P0058,2025-01-05,S026,Clothing,East,SUP040,241,21,2,0.91,1,0.06,838.17,0.0,Low,11.48,42,201998.97,0.0
P0154,2025-01-05,S019,Sports,North,SUP020,87,10,5,0.92,0,0.2,424.15,0.0,Low,8.7,50,36901.05,0.0
P0111,2025-01-05,S010,Sports,West,SUP038,211,23,10,0.91,0,-0.24,838.17,0.068,Low,9.17,230,176853.87,15925.23
P0119,2025-01-05,S026,Beauty,West,SUP014,316,21,11,0.83,0,-0.14,28.19,0.0,Low,15.05,231,8908.04,0.0
P0108,2025-01-05,S022,Clothing,South,SUP006,949,45,4,0.78,1,-0.19,754.76,0.0,Low,21.09,180,716267.24,0.0
P0136,2025-01-05,S009,Electronics,North,SUP033,420,19,3,,1,0.23,454.91,0.0,Low,22.11,57,191062.2,0.0
P0008,2025-01-05,S021,Beauty,East,SUP011,913,38,7,0.97,0,0.04,841.7,0.0,Low,24.03,266,768472.1,0.0
P0035,2025-01-05,S007,Clothing,South,SUP026,244,19,11,0.85,0,-0.21,889.73,0.0,Low,12.84,209,217094.12,0.0
P0035,2025-01-05,S002,Clothing,West,SUP036,337,17,4,0.7,0,-0.14,518.55,0.0,Low,19.82,68,174751.35,0.0
P0104,2025-01-06,S030,Clothing,East,SUP001,566,27,3,0.82,0,0.24,222.29,0.0,Low,20.96,81,125816.14,0.0
P0024,2025-01-06,S004,Beauty,West,SUP007,626,30,4,0.78,0,0.11,752.31,0.0,Low,20.87,120,470946.06,0.0
P0063,2025-01-06,S001,Clothing,North,SUP027,744,48,12,0.89,1,-0.17,467.2,0.0,Low,15.5,576,347596.8,0.0
P0173,2025-01-06,S007,Beauty,East,SUP001,350,14,12,0.66,1,0.07,596.5,0.0,Low,25.0,168,208775.0,0.0
P0178,2025-01-06,S001,Clothing,East,SUP019,678,29,13,0.88,0,-0.18,784.07,0.0,Low,23.38,377,531599.46,0.0
P0114,2025-01-06,S024,Grocery,North,SUP002,337,42,13,0.85,1,0.1,850.32,0.358,Medium,8.02,546,286557.84,177716.88
P0006,2025-01-06,S004,Clothing,North,SUP026,369,15,9,0.78,0,-0.22,146.22,0.0,Low,24.6,135,53955.18,0.0
P0185,2025-01-06,S018,Grocery,North,SUP007,351,19,10,0.69,0,0.03,694.74,0.0,Low,18.47,190,243853.74,0.0
P0138,2025-01-06,S005,Grocery,North,SUP008,636,48,7,0.96,0,0.25,308.35,0.0,Low,13.25,336,196110.6,0.0
P0079,2025-01-06,S012,Sports,South,SUP010,163,13,13,0.97,0,-0.16,582.36,0.027,Low,12.54,169,94924.68,3494.16
P0195,2025-01-06,S009,Beauty,East,SUP016,276,45,6,0.73,1,-0.05,829.32,0.155,Low,6.13,270,228892.32,0.0
P0200,2025-01-06,S014,Grocery,West,SUP015,176,47,14,0.88,0,-0.13,673.27,0.432,Medium,3.74,658,118495.52,324516.14
P0017,2025-01-06,S027,Clothing,North,SUP036,268,25,5,0.7,1,0.17,677.99,0.0,Low,10.72,125,181701.32,0.0
P0081,2025-01-06,S004,Electronics,North,SUP023,86,19,3,0.69,1,-0.14,115.97,0.0,Low,4.53,57,9973.42,0.0
P0161,2025-01-06,S024,Clothing,East,SUP015,312,36,5,0.77,0,-0.03,779.94,0.0,Low,8.67,180,243341.28,0.0
P0176,2025-01-07,S030,Electronics,East,SUP036,279,29,2,0.82,1,0.2,110.69,0.0,Low,9.62,58,30882.51,0.0
P0158,2025-01-07,S023,Clothing,East,SUP035,101,11,14,0.73,0,0.02,50.62,0.258,Medium,9.18,154,5112.62,2682.86
P0165,2025-01-07,S012,Electronics,West,SUP002,597,25,6,0.67,1,0.0,102.43,0.0,Low,23.88,150,61150.71,0.0
P0167,2025-01-07,S019,Beauty,East,SUP013,90,12,14,0.96,0,-0.09,163.44,0.264,Medium,7.5,168,14709.6,12748.32
P0133,2025-01-07,S015,Beauty,South,SUP016,398,29,9,0.67,1,0.02,578.92,0.0,Low,13.72,261,230410.16,0.0
P0026,2025-01-07,S026,Electronics,West,SUP035,225,9,11,0.84,1,-0.05,219.59,0.0,Low,25.0,99,49407.75,0.0
P0039,2025-01-07,S024,Beauty,South,SUP013,232,35,12,0.73,0,0.01,246.34,0.314,Medium,6.63,420,57150.88,46311.92
P0069,2025-01-07,S012,Home & Kitchen,North,SUP012,733,36,14,0.91,1,-0.13,562.99,0.0,Low,20.36,504,412671.67,0.0
P0110,2025-01-07,S007,Home & Kitchen,North,SUP015,21,14,11,0.67,0,0.09,173.96,0.563,High,1.5,154,3653.16,23136.68
P0036,2025-01-07,S015,Beauty,South,SUP028,158,21,14,0.74,0,0.19,138.14,0.338,Medium,7.52,294,21826.12,18787.04
P0164,2025-01-07,S013,Electronics,East,SUP001,229,20,10,0.67,0,-0.16,404.16,0.003,Low,11.45,200,92552.64,0.0
P0072,2025-01-07,S019,Electronics,West,SUP040,74,13,9,0.66,0,0.21,552.65,0.306,Medium,5.69,117,40896.1,23763.95
P0094,2025-01-07,S012,Sports,West,SUP006,269,15,10,0.92,1,0.19,562.89,0.0,Low,17.93,150,151417.41,0.0
P0052,2025-01-07,S005,Beauty,West,SUP013,324,24,6,0.73,1,0.23,447.97,0.0,Low,13.5,144,145142.28,0.0
P0180,2025-01-07,S001,Home & Kitchen,West,SUP010,561,28,12,0.74,1,-0.04,61.59,0.0,Low,20.04,336,34551.99,0.0
P0102,2025-01-07,S002,Sports,West,SUP015,326,21,14,0.8,0,0.19,405.95,0.009,Low,15.52,294,132339.7,0.0
P0052,2025-01-07,S012,Grocery,South,SUP034,333,55,7,0.9,0,0.17,496.98,0.116,Low,6.05,385,165494.34,25842.96
P0046,2025-01-07,S028,Beauty,South,SUP018,810,36,12,0.71,1,,72.78,0.0,Low,22.5,432,58951.8,0.0
P0066,2025-01-07,S019,Clothing,West,SUP002,366,29,4,0.83,0,-0.12,65.53,0.0,Low,12.62,116,23983.98,0.0
P0107,2025-01-07,S003,Clothing,East,SUP008,293,33,11,0.79,1,0.16,298.38,0.274,Medium,8.88,363,87425.34,20886.6
P0110,2025-01-07,S020,Clothing,East,SUP019,305,17,4,0.86,0,-0.1,157.92,0.0,Low,17.94,68,48165.6,0.0
P0124,2025-01-07,S020,Grocery,West,SUP024,463,47,4,0.73,0,0.06,611.54,0.0,Low,9.85,188,283143.02,0.0
P0071,2025-01-08,S015,Electronics,East,SUP002,41,14,6,0.81,0,-0.24,629.63,0.326,Medium,2.93,84,25814.83,27074.09
P0184,2025-01-08,S001,Sports,West,SUP033,107,15,7,0.68,0,-0.16,744.73,0.07,Low,7.13,105,79686.11,0.0
P0068,2025-01-08,S012,Home & Kitchen,West,SUP030,147,14,3,0.68,0,0.06,671.66,0.0,Low,10.5,42,98734.02,0.0
P0088,2025-01-08,S030,Home & Kitchen,East,SUP004,395,26,6,0.66,0,-0.24,550.72,0.0,Low,15.19,156,217534.4,0.0
P0127,2025-01-08,S012,Home & Kitchen,East,SUP009,179,15,9,0.66,0,0.23,776.62,0.0,Low,11.93,135,139014.98,0.0
P0132,2025-01-08,S014,Beauty,East,SUP009,496,40,10,0.67,0,-0.08,564.75,0.0,Low,12.4,400,280116.0,0.0
P0187,2025-01-08,S018,Clothing,South,SUP002,147,28,9,0.9,1,0.22,792.11,0.375,Medium,5.25,252,116440.17,83171.55
P0012,2025-01-08,S022,Clothing,East,SUP014,39,15,10,0.7,1,-0.21,111.48,0.579,High,2.6,150,4347.72,12374.28
P0074,2025-01-08,S015,Home & Kitchen,North,SUP040,127,29,2,0.86,0,-0.14,714.93,0.0,Low,4.38,58,90796.11,0.0
P0111,2025-01-08,S018,Beauty,West,SUP001,152,51,14,0.84,1,-0.23,371.36,0.572,High,2.98,714,56446.72,208704.32
P0093,2025-01-08,S023,Electronics,South,SUP038,87,29,2,0.72,1,-0.19,392.23,0.0,Low,3.0,58,34124.01,0.0
P0155,2025-01-08,S005,Clothing,East,SUP035,420,18,3,0.8,0,-0.16,649.26,0.0,Low,23.33,54,272689.2,0.0
P0026,2025-01-08,S026,Sports,South,SUP027,318,19,8,0.67,1,-0.17,313.55,0.0,Low,16.74,152,99708.9,0.0
P0187,2025-01-08,S028,Grocery,South,SUP006,557,36,12,0.83,0,0.06,337.23,0.0,Low,15.47,432,187837.11,0.0
P0131,2025-01-08,S030,Electronics,South,SUP026,57,16,7,0.7,1,0.07,177.82,0.45,Medium,3.56,112,10135.74,9780.1
P0005,2025-01-08,S025,Home & Kitchen,North,SUP024,211,30,14,0.87,0,-0.16,16.76,0.306,Medium,7.03,420,3536.36,3502.84
P0118,2025-01-08,S008,Beauty,West,SUP036,426,27,13,0.97,0,0.14,79.15,0.0,Low,15.78,351,33717.9,0.0
P0045,2025-01-08,S020,Sports,West,SUP013,246,14,13,0.68,0,0.06,547.85,0.0,Low,17.57,182,134771.1,0.0
P0100,2025-01-08,S013,Clothing,West,SUP028,556,24,2,0.81,0,-0.15,54.46,0.0,Low,23.17,48,30279.76,0.0
P0196,2025-01-08,S030,Beauty,North,SUP020,293,13,4,0.76,0,0.19,708.54,0.0,Low,22.54,52,207602.22,0.0
P0062,2025-01-08,S020,Grocery,West,SUP032,55,55,6,0.97,0,-0.07,137.02,0.464,Medium,1.0,330,7536.1,37680.5
P0113,2025-01-08,S004,Home & Kitchen,West,SUP013,114,31,14,0.73,0,-0.11,526.54,0.472,Medium,3.68,434,60025.56,168492.8
P0174,2025-01-08,S016,Sports,West,SUP036,192,9,14,0.87,0,0.0,351.98,0.0,Low,21.33,126,67580.16,0.0
P0017,2025-01-08,S001,Grocery,South,SUP035,456,54,9,0.73,0,-0.04,204.65,0.101,Low,8.44,486,93320.4,6139.5
P0054,2025-01-08,S024,Grocery,East,SUP028,335,48,13,0.84,0,0.19,344.91,0.313,Medium,6.98,624,115544.85,99678.99
P0108,2025-01-08,S015,Home & Kitchen,East,SUP031,378,19,12,0.67,0,0.04,783.55,0.0,Low,19.89,228,296181.9,0.0
P0004,2025-01-09,S011,Clothing,East,SUP010,305,28,2,0.92,0,0.21,388.46,0.0,Low,10.89,56,118480.3,0.0
P0118,2025-01-09,S024,Sports,West,SUP040,429,19,2,0.66,0,-0.22,415.34,0.0,Low,22.58,38,178180.86,0.0
P0017,2025-01-09,S028,Electronics,East,SUP011,37,10,4,0.95,0,-0.08,669.22,0.053,Low,3.7,40,24761.14,2007.66
P0048,2025-01-09,S012,Electronics,West,SUP020,260,18,12,0.85,0,-0.08,855.11,0.0,Low,14.44,216,222328.6,0.0
P0023,2025-01-09,S016,Sports,South,SUP035,65,16,14,0.83,0,0.11,48.95,0.442,Medium,4.06,224,3181.75,7783.05
P0072,2025-01-09,S022,Clothing,South,SUP040,654,32,11,0.98,0,-0.03,493.95,0.0,Low,20.44,352,323043.3,0.0
P0040,2025-01-09,S019,Home & Kitchen,South,SUP005,320,24,13,0.71,1,-0.23,227.35,0.158,Low,13.33,312,72752.0,0.0
P0193,2025-01-09,S023,Grocery,North,SUP021,372,59,14,0.93,0,0.19,466.92,0.338,Medium,6.31,826,173694.24,211981.68
P0098,2025-01-09,S001,Electronics,East,SUP016,193,18,7,0.71,0,-0.19,833.13,0.0,Low,10.72,126,160794.09,0.0
P0084,2025-01-09,S013,Grocery,East,SUP025,885,54,11,0.67,0,0.21,76.84,0.0,Low,16.39,594,68003.4,0.0
P0120,2025-01-09,S008,Grocery,North,SUP033,925,60,4,0.85,1,-0.12,688.57,0.0,Low,15.42,240,636927.25,0.0
P0037,2025-01-09,S017,Beauty,North,SUP024,327,26,12,0.72,0,0.24,148.65,0.068,Low,12.58,312,48608.55,0.0
P0055,2025-01-09,S021,Grocery,West,SUP010,1384,61,2,0.75,0,0.04,98.74,0.0,Low,22.69,122,136656.16,0.0
P0107,2025-01-09,S020,Sports,South,SUP028,109,9,9,0.96,0,0.2,763.92,0.0,Low,12.11,81,83267.28,0.0
P0122,2025-01-09,S024,Clothing,South,SUP023,259,29,4,0.83,0,0.12,725.5,0.0,Low,8.93,116,187904.5,0.0
P0026,2025-01-09,S023,Home & Kitchen,East,SUP033,254,23,9,0.83,1,0.17,568.57,0.035,Low,11.04,207,144416.78,0.0
P0026,2025-01-10,S024,Beauty,North,SUP033,323,13,7,0.97,0,-0.02,10.92,0.0,Low,24.85,91,3527.16,0.0
P0172,2025-01-10,S024,Beauty,West,SUP012,116,19,11,0.8,0,-0.03,122.61,0.294,Medium,6.11,209,14222.76,11402.73
P0093,2025-01-10,S022,Sports,North,SUP021,406,19,3,0.87,0,-0.02,242.67,0.0,Low,21.37,57,98524.02,0.0
P0069,2025-01-10,S007,Electronics,South,SUP040,25,12,14,0.67,0,0.15,63.51,0.563,High,2.08,168,1587.75,9081.93
P0008,2025-01-10,S024,Beauty,West,SUP003,260,11,5,0.85,0,0.1,704.24,0.0,Low,23.64,55,183102.4,0.0
P0184,2025-01-10,S006,Electronics,North,SUP009,298,26,9,0.7,1,-0.14,272.22,0.025,Low,11.46,234,81121.56,0.0
P0146,2025-01-10,S010,Grocery,South,SUP038,170,51,3,0.85,0,0.21,163.68,0.0,Low,3.33,153,27825.6,0.0
P0140,2025-01-10,S021,Clothing,West,SUP027,383,42,2,0.95,1,-0.1,743.83,0.0,Low,9.12,84,284886.89,0.0
P0108,2025-01-10,S023,Home & Kitchen,East,SUP003,75,16,2,0.93,0,-0.12,875.67,0.0,Low,4.69,32,65675.25,0.0
P0049,2025-01-10,S026,Beauty,East,SUP024,133,37,2,0.8,0,-0.1,51.25,0.0,Low,3.59,74,6816.25,0.0
P0154,2025-01-10,S018,Grocery,South,SUP027,566,41,6,0.71,1,0.06,676.15,0.0,Low,13.8,246,382700.9,0.0
P0197,2025-01-10,S018,Electronics,South,SUP027,11,13,14,0.84,0,-0.24,745.2,0.554,High,0.85,182,8197.2,127429.2
P0034,2025-01-10,S023,Grocery,West,SUP025,271,39,5,0.72,0,-0.03,78.63,0.0,Low,6.95,195,21308.73,0.0
P0172,2025-01-10,S025,Clothing,East,SUP035,606,30,13,0.7,1,-0.1,674.6,0.0,Low,20.2,390,408807.6,0.0
P0128,2025-01-10,S019,Sports,West,SUP021,201,21,6,0.78,0,0.0,474.39,0.0,Low,9.57,126,95352.39,0.0
P0020,2025-01-10,S007,Beauty,East,SUP013,609,27,13,0.81,0,-0.18,828.24,0.0,Low,22.56,351,504398.16,0.0
P0050,2025-01-10,S002,Grocery,East,SUP036,409,41,10,0.82,0,-0.06,542.52,0.046,Low,9.98,410,221890.68,542.52
P0016,2025-01-10,S022,Electronics,South,SUP002,331,17,3,0.72,0,-0.15,415.91,0.0,Low,19.47,51,137666.21,0.0
P0134,2025-01-10,S004,Home & Kitchen,West,SUP030,596,31,12,0.92,0,-0.21,311.39,0.0,Low,19.23,372,185588.44,0.0
P0144,2025-01-10,S024,Home & Kitchen,South,SUP029,54,14,7,0.74,0,-0.17,611.42,0.309,Medium,3.86,98,33016.68,26902.48
P0127,2025-01-10,S008,Clothing,East,SUP020,210,14,3,0.84,0,-0.08,444.75,0.0,Low,15.0,42,93397.5,0.0
P0108,2025-01-10,S002,Home & Kitchen,North,SUP034,319,17,2,0.97,0,0.09,553.49,0.0,Low,18.76,34,176563.31,0.0
P0045,2025-01-11,S006,Electronics,East,SUP025,14,25,11,0.88,1,0.03,601.83,0.653,High,0.56,275,8425.62,157077.63
P0028,2025-01-11,S002,Sports,South,SUP016,241,30,4,0.94,1,0.19,134.1,0.0,Low,8.03,120,32318.1,0.0
P0101,2025-01-11,S027,Clothing,North,SUP021,358,35,2,0.71,0,-0.07,303.9,0.0,Low,10.23,70,108796.2,0.0
P0088,2025-01-11,S013,Electronics,East,SUP007,147,19,5,0.9,0,0.11,757.62,0.0,Low,7.74,95,111370.14,0.0
P0101,2025-01-11,S019,Beauty,West,SUP004,196,19,9,0.75,0,-0.24,137.69,0.0,Low,10.32,171,26987.24,0.0
P0111,2025-01-11,S029,Electronics,South,SUP022,155,10,5,0.72,0,-0.1,55.77,0.0,Low,15.5,50,8644.35,0.0
P0084,2025-01-11,S030,Electronics,North,SUP037,148,16,12,0.8,0,0.21,448.07,0.196,Low,9.25,192,66314.36,19715.08
P0113,2025-01-11,S009,Sports,South,SUP006,153,23,4,0.87,0,0.23,874.39,0.0,Low,6.65,92,133781.67,0.0
